nu_ano_censo;co_ies;no_ies
2022;1872;CENTRO UNIVERSITÁRIO SANTA CRUZ DE CURITIBA
2022;1874;FACULDADE DE TECNOLOGIA DE OURINHOS
2022;1875;FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE IBITINGA
2022;1876;FACULDADE MUNICIPAL PROFESSOR FRANCO MONTORO DE MOGI GUAÇU
2022;1878;CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL INACIANA PE SABÓIA DE MEDEIROS
2022;1892;Centro Universitário de Excelência Eniac
2022;1898;FACULDADE DO LITORAL SUL PAULISTA
2022;1900;Centro Universitário de Ensino, Ciência e Tecnologia do Paraná
2022;1921;FACULDADE DE SÃO BENTO
2022;1930;INSTITUTO SUPERIOR DE EDUCAÇÃO DE SÃO PAULO
2022;1933;FACULDADE BIRIGUI
2023;1946;Faculdade Lumina
2022;1949;CENTRO UNIVERSITÁRIO DE PAULÍNIA
2022;1964;FACULDADE DE TECNOLOGIA EM HOTELARIA, GASTRONOMIA E TURISMO DE SÃO PAULO
2021;1973;INSTITUTO SUPERIOR DE EDUCAÇÃO ORÍGENES LESSA
2022;2009;FACULDADE DE TAQUARITINGA
2022;2015;INSTITUTO SANTO TOMÁS DE AQUINO
2022;2039;FACULDADE CIDADE LUZ
2022;2056;FACULDADE DA ALTA PAULISTA
2022;2111;CENTRO UNIVERSITÁRIO INTA
2022;2123;CENTRO UNIVERSITÁRIO MAX PLANCK
2022;2128;Escola de Direito de São Paulo - FGV DIREITO SP
2022;2129;ESCOLA DE ECONOMIA DE SÃO PAULO
2022;2131;FACULDADE DE SÃO BERNARDO DO CAMPO
2022;2133;Faculdade de Ciências, Educação e Teologia do Norte do Brasil
2020;2177;Faculdade Instituto Paulista de Ensino
2022;2183;CENTRO UNIVERSITÁRIO FUNDAÇÃO SANTO ANDRÉ
2022;2205;Faculdade REGES de Tupi Paulista
2019;2247;Faculdade Paulista São José
2022;2257;FACULDADE DIADEMA
2022;2279;Centro Universitário Metrocamp Wyden
2022;2289;FACULDADE UNIÃO CULTURAL DO ESTADO DE SÃO PAULO
2022;2328;FACULDADE ITEANA DE BOTUCATU
2020;2332;FACULDADE CORPORATIVA CESPI
2022;2355;FACULDADE ANHANGUERA DE MATÃO
2022;2368;FACULDADE SÃO LEOPOLDO MANDIC
2022;2389;FACULDADE DE FILOSOFIA E TEOLOGIA PAULO VI
2021;2399;FACULDADE DE SOROCABA
2022;2408;FACULDADE ESAMC SANTOS
2022;2465;FACULDADE IBMEC SÃO PAULO
2022;2494;Centro Universitário FUNVIC
2023;2497;CENTRO UNIVERSITÁRIO ATENEU
2021;2530;FACULDADE DE GUARULHOS
2022;2556;FIAM-FAAM - CENTRO UNIVERSITÁRIO
2022;2560;FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA
2022;2575;FACULDADES INTEGRADAS SOARES DE OLIVEIRA
2022;2625;CENTRO UNIVERSITÁRIO UFBRA
2022;2652;FACULDADE UNIDA DE VITÓRIA
2022;2687;FACULDADE DOM ALBERTO
2022;2688;FACULDADE INESP - INSTITUTO NACIONAL DE ENSINO E PESQUISA
2022;2726;FACULDADE BILAC DE SÃO JOSÉ DOS CAMPOS
2022;2744;INSTITUTO SUPERIOR DE EDUCAÇÃO VERA CRUZ
2022;2774;Centro Universitário UNIFAFIBE
2021;2793;FACULDADE UBS
2022;2806;FACULDADE EVANGÉLICA DE SÃO PAULO
2022;2811;FACULDADE PAULUS DE TECNOLOGIA E COMUNICAÇÃO
2022;2814;FACULDADE SÃO SEBASTIÃO
2022;2835;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU
2022;2855;FACULDADE SÃO FRANCISCO DE ASSIS
2022;2879;FACULDADE DE CAIEIRAS
2022;2886;FACULDADE ZUMBI DOS PALMARES
2019;2891;FACULDADE BARÃO DE PIRATININGA
2022;2950;Centro Universitário FADERGS
2022;2971;FACULDADE BARRETOS
2022;3008;FACULDADE DO INSTITUTO NACIONAL DE PÓS-GRADUAÇÃO DE SÃO JOSÉ DOS CAMPOS
2022;3012;FAJOPA - FACULDADE JOÃO PAULO II
2022;3051;FACULDADE TEOLÓGICA DE CIÊNCIAS HUMANAS E SOCIAIS LOGOS
2022;3165;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO TRIÂNGULO MINEIRO
2021;3177;FACULDADE DE ADMINISTRAÇÃO DA FESPSP
2020;3186;FACULDADE DE SÃO ROQUE
2022;3294;CENTRO UNIVERSITÁRIO FAVENI
2022;3302;Faculdade REGES de Junqueirópolis
2022;3308;FACULDADE ENGENHEIRO SALVADOR ARENA
2022;3323;INSTITUTO DE EDUCAÇÃO E ENSINO SUPERIOR DE CAMPINAS
2023;3333;CENTRO UNIVERSITÁRIO UNIFTEC
2022;3368;CENTRO UNIVERSITÁRIO DO SUL DE MINAS
