linha,nome,operadora,data_pesquisa,faixa_horaria,passageiros,partidas,passageiros_viagem,tempo_viagem_min
361,Linha 77 (Tangarás-Centro) PF1-PF2,Cidade Sem Limites,16/04/2013,17,26,1,26.0,46
362,Linha 77 (Tangarás-Centro) PF1-PF2,Cidade Sem Limites,16/04/2013,18,83,2,41.5,43
363,Linha 77 (Tangarás-Centro) PF1-PF2,Cidade Sem Limites,16/04/2013,19,22,1,22.0,33
364,Linha 77 (Tangarás-Centro) PF1-PF2,Cidade Sem Limites,16/04/2013,20,16,2,8.0,40
365,Linha 77 (Tangarás-Centro) PF1-PF2,Cidade Sem Limites,16/04/2013,21,5,1,5.0,38
366,Linha 77 (Tangarás-Centro) PF2-PF1,Cidade Sem Limites,16/04/2013,6,38,2,19.0,51
367,Linha 77 (Tangarás-Centro) PF2-PF1,Cidade Sem Limites,16/04/2013,7,22,1,22.0,37
368,Linha 77 (Tangarás-Centro) PF2-PF1,Cidade Sem Limites,16/04/2013,8,69,3,23.0,38
369,Linha 77 (Tangarás-Centro) PF2-PF1,Cidade Sem Limites,16/04/2013,9,27,2,13.5,38
370,Linha 77 (Tangarás-Centro) PF2-PF1,Cidade Sem Limites,16/04/2013,10,15,1,15.0,36
371,Linha 77 (Tangarás-Centro) PF2-PF1,Cidade Sem Limites,16/04/2013,11,52,2,26.0,35
372,Linha 77 (Tangarás-Centro) PF2-PF1,Cidade Sem Limites,16/04/2013,12,46,2,23.0,33
373,Linha 77 (Tangarás-Centro) PF2-PF1,Cidade Sem Limites,16/04/2013,13,64,2,32.0,59
374,Linha 77 (Tangarás-Centro) PF2-PF1,Cidade Sem Limites,16/04/2013,14,40,1,40.0,63
375,Linha 77 (Tangarás-Centro) PF2-PF1,Cidade Sem Limites,16/04/2013,15,49,1,49.0,68
376,Linha 77 (Tangarás-Centro) PF2-PF1,Cidade Sem Limites,16/04/2013,16,53,1,53.0,64
377,Linha 77 (Tangarás-Centro) PF2-PF1,Cidade Sem Limites,16/04/2013,17,111,2,55.5,59
378,Linha 77 (Tangarás-Centro) PF2-PF1,Cidade Sem Limites,16/04/2013,18,112,2,56.0,60
379,Linha 77 (Tangarás-Centro) PF2-PF1,Cidade Sem Limites,16/04/2013,19,17,1,17.0,48
380,Linha 77 (Tangarás-Centro) PF2-PF1,Cidade Sem Limites,16/04/2013,20,40,2,20.0,48
381,Linha 77 (Tangarás-Centro) PF2-PF1,Cidade Sem Limites,16/04/2013,21,34,1,34.0,50
382,Linha 77 (Tangarás-Centro) PF2-PF1,Cidade Sem Limites,16/04/2013,22,27,1,27.0,44
383,Linha 77A (Tangarás-Centro) PF1-PF2,,,,5,72,1,72.0,47
384,Linha 77A (Tangarás-Centro) PF1-PF2,,,,11,94,1,94.0,52
385,Linha 82 (Nobuji Nagasawa-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,5,31,1,31.0,27
386,Linha 82 (Nobuji Nagasawa-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,6,255,4,63.8,45
